"folder","old","new","status"
"R","SfM Pipeline.R","sfm_pipeline.R","renamed"
"R","TLS .las Converter.R","tls_las_converter.R","renamed"
"R","Point Cloud Density Metrics.R","point_cloud_density_metrics.R","renamed"
"R","Baseline DTM Generator.R","dtm_baseline_generator.R","renamed"
"R","DTM Fuser.R","dtm_fuser.R","renamed"
"R","DSM - DTM = CHM.R","chm_from_dsm_dtm.R","renamed"
"R","Pipeline (DTM-Independent).R","chm_pipeline_dtm_independent.R","renamed"
"R","CHM Height Extraction.R","chm_height_extraction.R","renamed"
"R","CHM Maps.R","chm_maps.R","renamed"
"R","Crown Polygons Merger.R","crown_polygons_merger.R","renamed"
"R","Master Dataset Compiler.R","master_dataset_compiler.R","renamed"
"R","GAMM Statistics.R","gamm_statistics.R","renamed"
"R","Plot Visualizer.R","plot_visualiser.R","renamed"
"R","Timelapse Generator.R","timelapse_generator.R","renamed"
"R","Wilo Timelapse Generator.R","timelapse_generator_wilo.R","renamed"
"Python","Pix4D PDF Extractor.py","pix4d_report_extractor.py","renamed"
"Python","YOLO Training.py","yolo_training.py","renamed"
"Python","YOLO Slicing Script.py","yolo_slicing.py","renamed"
"Python","YOLO Deployment.py","yolo_deployment.py","renamed"
"Python","Geo-SAM.py","geosam_segmentation_v1.py","renamed"
"Python","Geo-SAM Version 2.py","geosam_segmentation_v2.py","renamed"
"Python","Statistical_Analysis_Google_Colab.py","statistical_analysis.py","renamed"
